pname,cluster_kmeans,cluster_hdbscan,cluster_birch
1puu,42,-1,28
1pvg,14,-1,17
1pvn,2,-1,14
1pvy,26,-1,13
1pw1,13,-1,35
1pw7,4,-1,13
1pwb,24,27,46
1pwl,8,17,21
1pwm,8,17,21
1pwz,35,-1,33
1px2,22,13,33
1px6,44,-1,46
1px7,44,-1,46
1pxa,23,-1,35
1pxg,21,-1,29
1pxi,27,-1,20
1pxj,28,-1,4
1pxl,28,-1,4
1pxn,20,-1,26
1pxo,46,-1,14
1pxp,28,-1,4
1py5,28,-1,12
1pye,14,-1,29
1pym,10,-1,8
1pyx,49,-1,42
1pz4,18,-1,3
1pzi,24,-1,46
1pzj,24,27,46
1pzk,24,27,46
1pzl,34,-1,0
1pzm,36,-1,1
1pzo,44,-1,46
1pzp,13,-1,46
1pzx,32,-1,0
1pzy,19,-1,11
1q0b,30,-1,42
1q0h,13,-1,46
1q0n,10,-1,32
1q0q,15,-1,16
1q0r,33,-1,35
1q0s,31,-1,13
1q0y,31,-1,15
1q0z,33,-1,35
1q11,23,-1,13
1q13,14,-1,1
1q1a,29,-1,47
1q1y,3,-1,16
1q1z,41,-1,41
1q20,17,-1,2
1q21,17,-1,2
1q22,17,-1,2
1q23,23,-1,25
1q2c,13,-1,46
1q2d,13,-1,46
1q2e,36,-1,10
1q2o,15,-1,0
1q36,29,-1,43
1q3a,22,-1,17
1q3d,31,-1,5
1q3e,18,-1,2
1q3h,42,-1,3
1q3p,33,-1,19
1q3w,3,-1,5
1q41,31,-1,5
1q43,18,-1,2
1q45,29,-1,3
1q4j,44,-1,3
1q4k,13,-1,19
1q4s,14,-1,5
1q4w,20,-1,26
1q54,44,-1,43
1q5d,33,-1,35
1q5h,43,-1,11
1q5k,21,-1,29
1q5o,41,-1,2
1q63,28,-1,12
1q65,21,-1,12
1q66,20,-1,26
1q6c,40,-1,27
1q6d,40,-1,8
1q6e,9,-1,27
1q6f,40,-1,27
1q6g,40,-1,27
1q6k,15,-1,0
1q6l,45,-1,1
1q6n,27,-1,20
1q6o,25,-1,15
1q6q,45,-1,2
1q6r,45,-1,1
1q6s,27,-1,20
1q6z,30,-1,42
1q72,13,-1,46
1q79,1,-1,28
1q7a,15,-1,35
1q7b,23,-1,15
1q7c,44,-1,3
1q8j,33,-1,28
1q8o,12,-1,15
1q8p,16,-1,15
1q8q,12,-1,23
1q8s,12,-1,23
1q8t,46,-1,14
1q8u,46,-1,14
1q8v,16,-1,15
1q8w,46,-1,14
1q8y,21,-1,29
1q91,10,-1,34
1q92,49,-1,10
1q97,21,-1,29
1q99,49,-1,29
1q9d,42,-1,46
1q9i,32,-1,19
1q9s,35,-1,40
1qan,24,-1,28
1qaw,1,-1,28
1qb6,20,23,26
1qb7,7,-1,30
1qb8,29,-1,3
1qb9,20,-1,26
1qbb,1,-1,28
1qbn,20,23,26
1qbo,20,23,26
1qbq,23,-1,13
1qbs,20,-1,26
1qbv,35,3,10
1qca,24,-1,46
1qcf,3,-1,5
1qcj,15,-1,31
1qd1,13,-1,19
1qdc,24,-1,46
1qf0,27,16,20
1qf1,28,-1,4
1qf2,27,16,20
1qf4,44,-1,46
1qf5,42,-1,46
1qf9,24,-1,46
1qfo,4,-1,48
1qg0,23,-1,35
1qg2,18,-1,2
1qg4,18,-1,3
1qgi,13,-1,46
1qgq,18,-1,43
1qgs,44,-1,3
1qgx,17,-1,2
1qh5,15,-1,0
1qhf,33,-1,19
1qhg,18,-1,30
1qhh,1,-1,35
1qhi,42,-1,28
1qho,11,-1,1
1qhp,1,-1,35
1qhr,47,-1,12
1qi0,44,-1,3
1qin,37,-1,6
1qip,42,-1,28
1qiq,20,-1,26
1qir,19,-1,7
1qis,36,-1,7
1qit,7,-1,41
1qiw,6,-1,0
1qiy,26,-1,19
1qj1,47,4,12
1qj6,35,3,10
1qj7,5,4,12
1qjb,36,-1,5
1qjc,23,-1,13
1qje,39,-1,33
1qjf,39,-1,33
1qjg,32,-1,19
1qjw,18,-1,3
1qk0,7,-1,41
1qk2,12,-1,23
1qk3,44,-1,46
1qk4,7,-1,41
1qk5,24,-1,28
1qkj,24,27,46
1qkm,14,-1,1
1qkn,6,-1,18
1qkq,12,-1,23
1qkt,4,-1,19
1qkz,26,-1,0
1ql6,20,24,12
1ql7,20,23,26
1ql9,21,-1,26
1qll,33,-1,19
1qlu,25,-1,13
1qmh,44,-1,46
1qnf,4,-1,13
1qnr,18,-1,2
1qo3,23,-1,13
1qop,45,-1,1
1qoq,41,-1,30
1qpc,2,-1,14
1qpd,21,-1,29
1qpe,21,-1,29
1qpf,6,-1,18
1qpg,23,-1,23
1qpj,21,-1,29
1qpq,33,-1,19
1qpr,44,-1,3
1qqm,2,-1,14
1qqn,2,-1,14
1qqo,49,-1,42
1qqs,17,-1,2
1qr3,26,-1,48
1qra,18,-1,3
1qrd,37,-1,6
1qrr,1,-1,35
1qs0,37,-1,6
1qs4,26,-1,0
1qs8,31,-1,0
1qsm,0,-1,22
1qti,11,-1,15
1qut,43,-1,44
1qv0,6,-1,0
1qv1,25,-1,49
1qvj,23,-1,13
1qw4,8,17,21
1qw6,11,-1,16
1qw7,41,-1,3
1qw8,39,-1,31
1qw9,39,-1,33
1qwc,15,-1,0
1qxk,27,-1,20
1qxl,45,-1,22
1qxo,36,-1,7
1qxr,25,-1,49
1qxw,33,-1,13
1qxy,33,-1,19
1qxz,33,-1,19
1qy1,37,-1,6
1qy2,0,-1,42
1qy4,15,-1,49
1qy8,43,-1,11
1qye,43,-1,11
1qyg,34,-1,18
1qyw,1,-1,35
1qyx,1,-1,35
1qz0,44,-1,46
1qz5,49,-1,5
1qz6,3,-1,5
1qzr,14,-1,17
1qzy,5,-1,10
1qzz,44,-1,19
1r00,26,-1,19
1r0c,1,-1,28
1r0e,37,-1,5
1r0p,16,-1,40
1r0x,18,-1,3
1r0z,31,-1,25
1r15,22,-1,18
1r16,11,-1,18
1r18,42,-1,19
1r1h,39,-1,31
1r1j,39,-1,31
1r1p,24,-1,46
1r1q,13,-1,28
1r1s,24,28,28
1r27,36,-1,40
1r2q,10,-1,37
1r35,48,-1,21
1r37,31,-1,25
1r4a,12,-1,15
1r4f,4,-1,48
1r4p,1,-1,35
1r4s,49,-1,10
1r4u,49,-1,10
1r4w,23,-1,19
1r51,49,-1,10
1r55,11,-1,18
1r58,5,-1,26
1r5a,12,-1,43
1r5c,17,-1,2
1r5g,5,-1,10
1r5h,5,-1,10
1r5l,24,-1,46
1r5y,20,-1,4
1r66,3,-1,16
1r6b,32,-1,13
1r6d,20,-1,26
1r6t,33,-1,19
1r6u,26,-1,36
1r6w,42,-1,3
1r78,47,-1,12
1r7t,43,-1,9
1r7u,43,1,9
1r7v,43,0,44
1r7x,43,1,9
1r7y,43,-1,9
1r80,43,1,9
1r81,43,2,9
1r82,43,1,9
1r87,32,-1,19
1r89,26,-1,36
1r8b,26,-1,36
1r8c,23,-1,41
1r8q,14,-1,16
1r8s,1,-1,35
1r9j,38,-1,37
1r9n,31,-1,38
1r9o,25,-1,49
1ra1,5,-1,26
1ra2,21,-1,21
1ra3,5,-1,26
1ra7,42,-1,19
1ra8,20,-1,26
1ra9,48,-1,21
1raa,37,-1,6
1rab,37,-1,6
1rac,37,-1,28
1rad,42,-1,19
1rae,37,-1,28
1raf,42,-1,28
1rag,42,-1,28
1rah,42,-1,28
1rai,42,-1,28
1rak,9,-1,32
1rao,9,-1,32
1rb0,10,-1,34
1rb2,5,-1,26
1rb3,21,-1,26
1rbm,46,-1,14
1rbp,34,-1,36
1rbq,47,-1,4
1rby,46,-1,14
1rbz,46,-1,14
1rc0,46,-1,14
1rc1,2,-1,14
1rc4,5,-1,26
1rca,43,-1,9
1rcf,36,-1,7
1rcv,24,27,46
1rcx,30,-1,42
1rd4,45,-1,1
1rd9,24,27,46
1rdi,15,-1,0
1rdj,15,-1,0
1rdk,24,-1,46
1rdl,24,-1,46
1rdm,24,-1,46
1rdn,24,-1,46
1rdp,13,-1,46
1rdq,27,-1,14
1rds,24,-1,46
1rdt,48,-1,21
1rdw,49,-1,5
1rdy,42,-1,19
1rdz,42,-1,28
1re0,3,-1,6
1re3,13,-1,28
1re8,20,-1,14
1re9,43,-1,11
1rej,27,16,20
1rek,46,-1,14
1reo,44,-1,3
1rf2,24,27,46
1rf4,37,-1,6
1rf6,42,-1,28
1rf7,21,-1,26
1rg7,5,-1,39
1rga,24,-1,28
1rgc,24,-1,46
1rge,8,-1,33
1rgk,24,-1,46
1rgl,4,-1,46
1rh3,8,-1,33
1rhl,13,-1,46
1ri1,3,-1,16
1ri3,14,-1,17
1ri4,3,-1,16
1riu,13,-1,46
1riv,13,-1,46
1riw,47,-1,12
1rj9,10,-1,8
1rjd,24,-1,28
1rje,24,-1,46
1rjk,8,17,21
1rjn,44,-1,46
1rk1,24,27,46
1rk2,42,-1,19
1rk3,8,17,21
1rkd,42,-1,28
1rkg,8,17,21
1rkh,8,-1,21
1rkp,8,-1,21
1rks,13,-1,28
1rl4,22,-1,33
1rl9,17,-1,2
1rlj,24,28,28
1rls,13,-1,46
1rlu,7,-1,8
1rm0,3,-1,1
1rm3,32,-1,35
1rm4,15,-1,0
1rm8,22,-1,17
1rms,24,-1,46
1rmt,16,-1,40
1rmy,18,-1,2
1rmz,28,-1,4
1rn8,23,-1,13
1rnc,43,-1,9
1rnd,43,-1,9
1rne,34,-1,36
1rnj,1,-1,35
1rnm,41,-1,2
1rnn,9,-1,9
1rnt,4,-1,46
1ro6,47,-1,12
1ro8,44,-1,46
1ro9,48,-1,21
1rob,41,-1,2
1ror,47,-1,12
1ros,28,-1,4
1rp0,33,-1,19
1rpf,41,-1,2
1rpg,43,-1,9
1rpj,42,-1,46
1rpk,4,-1,35
1rpn,7,-1,38
1rq2,7,-1,3
1rqh,30,-1,30
1rqi,17,-1,2
1rqj,17,-1,2
1rqp,26,-1,35
1rr2,38,-1,11
1rr6,25,-1,1
1rrc,13,-1,28
1rrg,31,-1,38
1rri,13,-1,46
1rrm,24,-1,46
1rrv,29,-1,37
1rrw,24,27,46
1rs2,24,-1,46
1rs6,15,15,0
1rs7,15,15,0
1rs8,32,26,35
1rs9,15,-1,0
1rsd,24,27,46
1rsg,0,-1,17
1rsi,26,-1,35
1rsn,15,-1,0
1rst,1,-1,28
1rsz,25,-1,1
1rt9,25,-1,30
1rth,34,-1,31
1rtw,24,-1,46
1ru1,9,-1,32
1ru2,9,-1,32
1ru9,24,27,46
1rua,24,27,46
1ruk,24,27,46
1rul,24,27,46
1rum,24,27,46
1ruv,41,-1,2
1rv0,14,-1,17
1rvd,18,-1,3
1rw8,49,-1,7
1rwc,37,-1,28
1rwh,37,-1,28
1rx2,48,-1,21
1rx3,5,-1,26
1rx4,20,-1,26
1rx5,48,-1,21
1rx6,48,-1,21
1rx7,20,24,26
1rx9,5,-1,26
1rxj,42,-1,28
1rxk,45,-1,13
1rxq,13,-1,46
1ry0,49,-1,11
1ry2,13,-1,19
1rya,26,-1,35
1ryd,6,-1,18
1rye,33,-1,19
1ryf,42,-1,28
1ryh,42,-1,19
1rzm,24,-1,28
1rzu,34,-1,6
1rzy,44,-1,3
1s07,41,-1,3
1s0j,12,-1,15
1s0x,36,-1,33
1s0z,8,17,21
1s16,7,-1,2
1s17,26,-1,35
1s19,8,17,21
1s1a,23,-1,23
1s1d,26,-1,36
1s1f,1,-1,35
1s1j,37,-1,23
1s1s,26,-1,35
1s1t,48,-1,21
1s20,26,-1,35
1s22,49,-1,5
1s2c,2,-1,4
1s2g,13,-1,19
1s2k,44,-1,3
1s36,34,-1,18
1s38,28,-1,12
1s39,20,24,26
1s3f,42,-1,3
1s3k,13,-1,19
1s3u,8,7,33
1s3v,39,7,33
1s3w,39,7,33
1s3x,20,-1,26
1s3y,5,-1,10
1s3z,33,-1,19
1s4m,26,-1,35
1s4o,0,-1,49
1s4p,4,-1,35
1s5d,22,-1,17
1s5e,11,-1,31
1s5m,10,-1,8
1s5o,34,-1,1
1s5p,26,-1,35
1s5z,26,-1,36
1s63,30,-1,37
1s68,32,-1,3
1s6h,21,-1,26
1s7u,44,-1,46
1s83,20,-1,26
1s8f,10,-1,24
1s8g,34,-1,36
1s9a,41,-1,41
1s9d,3,-1,16
1s9j,48,-1,12
1s9p,14,-1,17
1s9q,0,-1,17
1s9t,30,-1,30
1s9w,42,-1,46
1sa4,15,-1,30
1saz,32,-1,3
1sb1,47,-1,12
1sb8,13,-1,19
1sb9,42,-1,23
1sbg,19,-1,4
1sbr,6,-1,0
1sby,44,-1,19
1sbz,13,-1,19
1sc6,37,-1,30
1sc8,8,-1,33
1sc9,12,-1,2
1sd0,17,-1,2
1sd1,6,-1,45
1sd2,16,-1,40
1sd3,43,-1,9
1sdm,42,-1,28
1sdw,24,-1,46
1sdz,33,-1,19
1se4,24,27,46
1seh,44,-1,13
1sep,24,-1,46
1ses,13,-1,46
1sg0,4,-1,35
1sg6,42,-1,3
1sg9,7,-1,41
1sha,24,27,46
1shb,29,-1,47
1shd,29,-1,3
1six,23,-1,13
1sj0,13,-1,19
1sjn,6,-1,13
1sjw,42,-1,3
1skg,32,-1,19
1skj,24,-1,46
1skq,29,-1,47
1sl3,35,3,10
1sl6,24,-1,46
1sl9,6,-1,18
1sli,0,-1,49
1sln,22,-1,33
1slt,13,-1,46
1sm2,10,-1,34
1smc,44,-1,43
1smr,39,-1,16
1sn0,4,-1,46
1sn5,4,-1,35
1snc,38,-1,7
1snf,23,-1,13
1snm,30,-1,42
1snn,45,-1,13
1snu,46,-1,14
1so0,15,-1,0
1so2,45,-1,15
1so3,25,-1,15
1so4,45,-1,15
1so5,45,-1,1
1so6,30,-1,42
1sox,33,-1,19
1spa,18,-1,3
1sq5,44,-1,46
1sqa,8,-1,33
1sqf,41,-1,13
1sqi,44,-1,46
1sqk,49,-1,37
1sql,30,-1,40
1sqn,39,-1,33
1sqo,8,-1,33
1sqt,8,-1,21
1sr7,35,-1,33
1srf,7,-1,2
1srg,12,-1,43
1sri,12,-1,23
1srj,26,-1,30
1ss4,24,-1,46
1ssq,44,-1,46
1sta,20,-1,7
1stb,17,-1,38
1stc,27,16,20
1stg,30,-1,42
1sth,30,-1,42
1sts,1,-1,28
1sty,20,-1,26
1su2,24,-1,28
1suo,3,-1,49
1sux,29,-1,3
1sv3,11,-1,17
1sve,27,16,14
1svg,46,-1,14
1svh,46,-1,14
1svi,1,-1,28
1svk,17,-1,2
1svs,30,-1,2
1swd,1,-1,3
1swe,12,-1,23
1swg,42,-1,3
1swk,42,-1,3
1swn,16,-1,40
1swp,16,-1,40
1swr,12,-1,23
1swt,16,-1,40
1sww,1,-1,3
1sxk,22,-1,17
1syb,30,-1,42
1syd,19,-1,7
1syf,30,-1,42
1syh,16,-1,36
1syi,39,-1,16
1syl,23,-1,13
1syn,16,-1,8
1syo,42,-1,28
1sz0,42,-1,28
1sz2,44,-1,46
1sz3,42,-1,28
1sz6,18,-1,3
1szc,29,-1,8
1szd,29,-1,8
1szj,34,-1,36
1szm,46,-1,14
1szo,13,-1,46
1t0a,35,-1,16
1t0i,0,-1,22
1t0l,24,27,46
1t10,13,-1,19
1t1r,15,-1,0
1t1s,15,-1,0
1t25,17,-1,47
1t2b,45,-1,30
1t2c,29,-1,47
1t2w,17,-1,2
1t31,2,12,14
1t3p,24,-1,46
1t3r,19,-1,4
1t40,8,17,21
1t41,8,17,21
1t44,49,-1,5
1t46,48,-1,21
1t48,27,-1,20
1t49,43,-1,9
1t4g,37,-1,28
1t4t,31,-1,25
1t4u,14,3,10
1t4v,47,4,12
1t57,12,-1,3
1t5b,33,-1,35
1t5c,18,-1,3
1t5f,10,-1,24
1t5g,31,-1,25
1t5z,5,-1,4
1t63,5,-1,39
1t64,28,-1,4
1t65,5,-1,39
1t66,34,-1,36
1t67,48,-1,12
1t6x,34,-1,22
1t6z,34,-1,18
1t73,5,-1,39
1t74,5,-1,39
1t76,5,-1,39
1t79,5,-1,4
1t7d,33,-1,19
1t7f,46,-1,14
1t7i,19,-1,7
1t7j,19,-1,7
1t7m,5,-1,10
1t7o,26,-1,0
1t7q,37,-1,28
1t7r,5,-1,4
1t7t,5,-1,39
1t85,0,-1,22
1t86,0,-1,22
1t87,5,-1,39
1t88,36,-1,39
1t8t,18,-1,3
1t8u,44,-1,3
1t8x,1,-1,0
1t91,17,-1,2
1t93,1,-1,35
1t9b,49,-1,5
1t9m,18,-1,3
1t9s,8,-1,12
1ta2,35,3,10
1ta6,47,4,12
1ta8,24,-1,46
1tad,17,-1,2
1tag,31,-1,38
1tb5,47,-1,4
1tb6,35,-1,4
1tb7,48,7,16
1tbb,48,-1,16
1tbf,47,-1,4
1tbw,2,-1,14
1tc0,27,-1,20
1tc1,23,-1,3
1tc2,45,-1,1
1tc6,27,-1,20
1tco,35,-1,33
1tcw,36,-1,7
1tcx,20,-1,26
1td2,44,-1,3
1td7,24,-1,46
1tdi,7,-1,30
1tdr,21,-1,12
1tdu,23,-1,15
1te2,41,-1,13
1ted,4,-1,19
1tf8,42,-1,19
1tf9,18,-1,2
1tfj,13,-1,46
1tfz,13,-1,46
1tg1,15,-1,0
1tg2,39,-1,33
1tg5,13,-1,46
1tgm,32,-1,19
1tgv,24,-1,46
1tgy,44,-1,46
1th6,22,-1,33
1th8,1,-1,35
1tha,31,-1,13
1thc,15,6,16
1thl,28,-1,4
1thn,4,-1,13
1tid,1,-1,35
1tip,42,-1,28
1tiw,18,-1,41
1tj5,44,-1,46
1tjg,33,-1,19
1tjj,31,-1,15
1tjp,6,-1,1
1tk2,24,-1,46
1tke,33,-1,28
1tkf,18,-1,2
1tkg,26,-1,19
1tkh,32,-1,19
1tku,24,-1,46
1tky,26,-1,35
1tl2,24,28,28
1tlc,16,-1,15
1tlg,24,-1,28
1tlm,41,-1,13
1tlp,28,-1,4
1tlx,27,16,20
1tmc,13,-1,35
1tmk,21,-1,11
1tmm,10,-1,32
1tmn,28,-1,4
1tmt,34,-1,31
1tmx,13,-1,19
1tn6,29,-1,3
1tn7,23,-1,13
1tn8,25,-1,25
1tnd,17,-1,2
1tni,20,23,26
1tog,18,-1,13
1toi,18,-1,2
1toj,18,-1,13
1tok,1,-1,13
1tom,48,4,12
1toq,24,27,46
1tou,22,-1,17
1tow,14,-1,17
1tp2,39,-1,21
1tps,2,-1,20
1tpu,29,-1,8
1tpy,26,-1,35
1tpz,37,-1,35
1tq4,24,-1,28
1tq9,10,-1,24
1tqf,27,16,20
1tqm,7,-1,3
1tqp,37,-1,28
1tqt,36,-1,11
1tr5,17,-1,2
1tr7,8,-1,12
1trb,30,-1,6
1trg,29,-1,8
1trp,33,-1,19
1trq,24,-1,46
1tsd,29,-1,8
1tsl,40,-1,27
1tsx,29,-1,8
1tsy,40,-1,27
1tt1,7,-1,2
1tt2,49,-1,7
1tt6,3,6,16
1tt8,12,-1,23
1ttm,5,-1,26
1tu3,10,-1,37
1tu4,37,-1,3
1tu7,36,-1,10
1tu8,23,-1,15
1tuf,7,-1,30
1tug,42,-1,28
1tuk,24,27,46
1tuu,33,-1,19
1tuv,13,-1,46
1tv5,27,-1,20
1tv8,33,-1,3
1tvb,15,-1,0
1tvo,21,-1,26
1tvp,18,-1,2
1tvu,29,-1,47
1tvv,44,-1,3
1tvw,40,-1,27
1tvy,30,-1,5
1tw1,30,-1,5
1tw2,24,-1,19
1tw3,24,-1,19
1tw4,24,27,46
1tw5,16,-1,5
1twf,21,-1,29
1twi,37,-1,30
1twq,24,-1,46
1tww,40,-1,8
1twx,39,-1,10
1tx0,38,-1,34
1tx2,40,-1,8
1tx4,38,-1,7
1tx7,2,-1,4
1tx8,20,23,26
1txi,8,17,21
1txr,11,-1,45
1txz,24,-1,46
1ty8,24,-1,46
1ty9,24,-1,46
1tyb,10,-1,37
1tyd,44,-1,19
1tyo,33,-1,19
1tyr,23,-1,13
1tys,26,-1,23
1tz8,3,6,16
1tzc,24,-1,46
1tzd,31,-1,38
1tze,43,-1,9
1tzf,18,-1,3
1tzk,43,-1,11
1u08,25,-1,8
1u0j,32,-1,35
1u0w,45,-1,13
1u0z,43,-1,11
1u1e,32,-1,3
1u1j,23,-1,19
1u1w,4,-1,48
1u1x,4,-1,19
1u21,41,6,13
1u25,22,-1,17
1u26,25,-1,10
1u27,44,-1,3
1u28,33,-1,19
1u29,44,-1,2
1u2g,33,-1,19
1u2o,27,-1,20
1u2s,24,-1,46
1u2y,15,-1,0
1u2z,34,-1,36
1u30,44,-1,46
1u33,33,-1,19
1u3d,13,-1,46
1u3f,42,-1,19
1u3g,24,-1,19
1u3i,33,-1,19
1u3l,13,-1,46
1u3q,14,-1,17
1u3r,45,-1,1
1u3s,6,-1,45
1u3t,24,-1,46
1u3v,44,-1,3
1u3w,0,-1,49
1u4d,3,-1,16
1u4g,22,-1,17
1u4j,5,-1,10
1u4l,4,-1,48
1u4m,6,-1,18
1u4o,29,-1,47
1u4s,23,-1,43
1u59,48,-1,12
1u5a,18,-1,43
1u5b,31,-1,25
1u5r,49,-1,5
1u5v,44,-1,3
1u6q,5,-1,26
1u6r,26,-1,13
1u70,8,-1,21
1u71,8,-1,21
1u72,39,7,33
1u7w,33,-1,19
1u7z,42,-1,28
1u8a,7,-1,41
1u8g,19,-1,7
1u8i,26,-1,36
1u8u,4,-1,13
1u8x,11,-1,45
1u8y,17,-1,2
1u8z,17,-1,2
1u90,30,-1,38
1u93,13,-1,19
1u9e,6,-1,0
1u9n,22,-1,33
1u9q,23,-1,13
1ua3,34,-1,36
1ua4,25,-1,49
1ua5,25,-1,39
1uad,17,-1,41
1uae,18,-1,3
1uag,7,-1,8
1uak,26,-1,19
1ual,13,-1,19
1uam,15,-1,31
1uas,13,-1,46
1uay,24,27,46
1ub5,33,-1,19
1ubs,29,-1,8
1ubw,41,-1,30
1ubx,23,-1,30
1uby,42,-1,46
1uc2,45,-1,30
1uca,41,-1,25
1ucc,17,-1,2
1ucd,17,-1,2
1ucn,33,-1,19
1uda,1,-1,35
1udb,13,-1,35
1udc,1,-1,35
1udt,47,-1,12
1uf5,13,-1,46
1uf7,13,-1,46
1uf8,33,-1,19
1ufy,24,27,46
1ugw,24,-1,19
1ugx,13,-1,46
1ugy,24,-1,28
1uh4,24,28,28
1uh5,23,-1,3
1uhb,48,-1,12
1uhh,0,-1,49
1uhj,0,-1,49
1uhk,48,-1,21
1uho,47,-1,12
1ui0,24,27,46
1uio,25,-1,22
1uip,25,-1,22
1uj2,18,-1,43
1uj5,17,-1,2
1uj6,18,-1,2
1ujp,24,-1,46
1uk7,10,-1,37
1uk8,10,-1,37
1uke,18,-1,2
1ukg,16,-1,15
1ukq,32,-1,19
1ukv,49,-1,5
1uky,18,-1,3
1ukz,18,-1,2
1uld,44,-1,3
1ule,44,-1,3
1ulg,39,-1,33
1um4,12,-1,23
1uma,35,3,10
1umg,24,-1,46
1umi,44,-1,19
1uml,45,-1,22
1umw,16,-1,44
1umz,45,-1,0
1unb,23,-1,35
1ung,30,-1,42
1unh,49,-1,5
1unl,46,-1,14
1unq,4,-1,48
1uo4,24,27,46
1uob,33,-1,19
1uof,33,-1,19
1uog,45,-1,30
1uom,6,-1,48
1uou,23,-1,19
1uoz,41,-1,13
1up0,41,-1,13
1up2,42,-1,19
1up3,44,-1,3
1upj,19,-1,7
1upp,0,-1,42
1upr,24,27,46
1upt,42,-1,28
1upu,42,-1,19
1upv,13,-1,46
1upw,4,-1,46
1uqt,23,-1,30
1uqu,23,-1,30
1uqx,24,28,28
1uqy,18,-1,2
1uqz,18,-1,2
1ur0,12,-1,46
1ur1,17,-1,2
1ur2,43,-1,9
1ur4,1,-1,28
1ur8,24,-1,46
1ur9,33,-1,19
1urd,30,-1,30
1urg,30,-1,30
1url,33,-1,19
1urs,0,-1,17
1urw,46,-1,14
1us0,8,17,21
1us2,23,-1,13
1us5,33,-1,19
1usb,23,-1,19
1usc,44,-1,46
1usf,18,-1,2
1usi,25,-1,13
1usk,31,-1,42
1usn,8,-1,39
1usq,26,-1,35
1usr,37,-1,6
1ut6,23,-1,13
1utl,26,-1,35
1utp,20,24,26
1utt,28,-1,4
1utz,28,-1,4
1uu1,24,-1,46
1uu3,3,-1,5
1uu4,24,-1,46
1uu6,24,-1,46
1uu7,37,-1,6
1uu8,49,-1,5
1uu9,37,-1,6
1uum,43,-1,9
1uuo,43,-1,9
1uuv,7,-1,2
1uux,15,-1,0
1uuy,25,-1,49
1uva,11,-1,18
1uvb,6,-1,48
1uvc,32,-1,0
1uvt,39,-1,31
1uw1,44,-1,3
1uwc,39,-1,49
1uwf,47,-1,12
1uwl,40,-1,47
1uwt,17,-1,2
1uwu,17,-1,2
1uwz,44,-1,13
1ux0,42,-1,3
1ux1,7,-1,3
1ux7,24,-1,28
1uxa,18,-1,3
1uxb,1,-1,35
1uxh,32,-1,19
1uxn,33,-1,35
1uxq,26,-1,13
1uxr,26,-1,13
1uxs,18,-1,2
1uxt,33,-1,19
1uxu,26,-1,0
1uxv,33,-1,19
1uy0,44,-1,46
1uy2,23,-1,3
1uy3,23,-1,3
1uy4,21,-1,33
1uy6,27,16,20
1uy7,2,16,14
1uy8,27,16,20
1uy9,2,16,14
1uyc,2,-1,14
1uyd,27,16,20
1uye,2,16,14
1uyf,27,16,20
1uyg,27,16,20
1uyh,27,16,20
1uyi,27,16,20
1uyk,2,-1,14
1uym,2,16,14
1uyq,16,-1,9
1uyu,0,-1,22
1uyx,24,-1,46
1uyy,24,-1,46
1uyz,24,-1,46
1uz1,43,-1,40
1uz4,42,-1,19
1uz8,4,-1,35
1uz9,24,-1,19
1uze,41,-1,15
1uzf,3,-1,16
1uzn,33,-1,19
1uzu,43,0,44
1uzv,18,-1,3
1uzw,39,-1,33
1uzy,24,-1,19
1v00,32,-1,6
1v03,12,-1,43
1v08,12,-1,23
1v0c,4,-1,46
1v0j,24,-1,19
1v0k,16,-1,49
1v0l,25,-1,49
1v0m,16,-1,49
1v0n,6,-1,18
1v0o,48,-1,21
1v0p,28,-1,4
1v11,40,-1,27
1v16,40,-1,27
1v1a,42,-1,28
1v1k,20,-1,26
1v1m,40,-1,27
1v25,33,-1,35
1v26,37,-1,35
1v2a,41,-1,3
1v2f,41,-1,15
1v2k,20,-1,26
1v2n,20,24,26
1v2o,2,-1,4
1v2p,20,23,26
1v2q,20,-1,26
1v2r,20,23,26
1v2t,20,-1,26
1v2u,20,-1,26
1v2w,20,23,26
1v2x,44,-1,3
1v39,4,-1,48
1v3c,0,-1,49
1v3d,0,-1,22
1v3e,0,-1,49
1v3i,40,-1,27
1v3m,15,-1,13
1v3s,42,-1,19
1v3x,48,18,21
1v40,45,-1,13
1v47,18,-1,2
1v48,25,-1,8
1v4b,24,27,46
1v4s,16,0,44
1v59,16,-1,15
1v5f,37,-1,13
1v5g,33,-1,13
1v5y,24,-1,46
1v5z,44,-1,46
1v6i,24,-1,19
1v6k,13,-1,35
1v6l,13,-1,35
1v6u,13,-1,46
1v6v,37,-1,28
1v6w,13,-1,46
1v6x,13,-1,46
1v79,22,-1,33
1v7a,6,-1,18
1v7c,18,-1,3
1v7r,25,-1,1
1v7u,41,-1,13
1v7w,0,-1,49
1v7x,37,-1,41
1v83,44,-1,46
1v84,4,-1,35
1v8k,42,-1,3
1v8l,11,-1,0
1v8m,32,-1,35
1v8r,42,-1,28
1v8s,42,-1,28
1v8v,26,-1,48
1v8y,32,-1,35
1v9a,13,-1,46
1v9h,7,-1,30
1v9o,31,-1,0
1va5,26,-1,36
1va6,11,-1,18
1vag,12,10,23
1vb3,33,-1,35
1vbj,44,-1,3
1vbo,13,-1,46
1vbr,25,-1,9
1vc8,24,-1,28
1vc9,24,27,46
1vce,36,-1,10
1vcj,0,-1,22
1vcz,23,-1,13
1vd1,44,-1,46
